The Prestige,Christian Bale- Hugh Jackman- Scarlett Johansson- Michael Caine
Kingsman: The Secret Service,Colin Firth- Taron Egerton- Samuel L. Jackson-Michael Caine
Patriots Day,Mark Wahlberg- Michelle Monaghan- J.K. Simmons- John Goodman
Mad Max: Fury Road,Tom Hardy- Charlize Theron- Nicholas Hoult- Zoë Kravitz
Wakefield,Bryan Cranston- Jennifer Garner- Beverly D'Angelo-Jason O'Mara
Deepwater Horizon,Mark Wahlberg- Kurt Russell- Douglas M. Griffin- James DuMont
The Promise,Oscar Isaac- Charlotte Le Bon- Christian Bale- Daniel Giménez Cacho
Allied,Brad Pitt- Marion Cotillard- Jared Harris- Vincent Ebrahim
A Monster Calls,Lewis MacDougall- Sigourney Weaver- Felicity Jones-Toby Kebbell
Collateral Beauty,Will Smith- Edward Norton- Kate Winslet- Michael Peña
Zootopia,Ginnifer Goodwin- Jason Bateman- Idris Elba- Jenny Slate
Pirates of the Caribbean: At World's End,Johnny Depp- Orlando Bloom- Keira Knightley-Geoffrey Rush
The Avengers,Robert Downey Jr.- Chris Evans- Scarlett Johansson-Jeremy Renner
Inglourious Basterds,Brad Pitt- Diane Kruger- Eli Roth-Mélanie Laurent
Pirates of the Caribbean: Dead Man's Chest,Johnny Depp- Orlando Bloom- Keira Knightley- Jack Davenport
Ghostbusters,Melissa McCarthy- Kristen Wiig- Kate McKinnon- Leslie Jones
Inception,Leonardo DiCaprio- Joseph Gordon-Levitt- Ellen Page- Ken Watanabe
Captain Fantastic,Viggo Mortensen- George MacKay- Samantha Isler-Annalise Basso
The Wolf of Wall Street,Leonardo DiCaprio- Jonah Hill- Margot Robbie-Matthew McConaughey
Gone Girl,Ben Affleck- Rosamund Pike- Neil Patrick Harris-Tyler Perry
Furious Seven,Vin Diesel- Paul Walker- Dwayne Johnson- Jason Statham
Jurassic World,Chris Pratt- Bryce Dallas Howard- Ty Simpkins-Judy Greer
Live by Night,Ben Affleck- Elle Fanning- Brendan Gleeson- Chris Messina
Avatar,Sam Worthington- Zoe Saldana- Sigourney Weaver- Michelle Rodriguez
The Hateful Eight,Samuel L. Jackson- Kurt Russell- Jennifer Jason Leigh- Walton Goggins
The Accountant,Ben Affleck- Anna Kendrick- J.K. Simmons- Jon Bernthal
Prisoners,Hugh Jackman- Jake Gyllenhaal- Viola Davis-Melissa Leo
Warcraft,Travis Fimmel- Paula Patton- Ben Foster- Dominic Cooper
The Help,Emma Stone- Viola Davis- Octavia Spencer- Bryce Dallas Howard
War Dogs,Jonah Hill- Miles Teller- Steve Lantz- Gregg Weiner
Avengers: Age of Ultron,Robert Downey Jr.- Chris Evans- Mark Ruffalo- Chris Hemsworth
The Nice Guys,Russell Crowe- Ryan Gosling- Angourie Rice- Matt Bomer
Kimi no na wa,Ryûnosuke Kamiki- Mone Kamishiraishi- Ryô Narita- Aoi Yuki
Personal Shopper,Kristen Stewart- Lars Eidinger- Sigrid Bouaziz-Anders Danielsen Lie
The Departed,Leonardo DiCaprio- Matt Damon- Jack Nicholson- Mark Wahlberg
Legend,Tom Hardy- Emily Browning- Taron Egerton- Paul Anderson
Thor,Chris Hemsworth- Anthony Hopkins- Natalie Portman- Tom Hiddleston
The Martian,Matt Damon- Jessica Chastain- Kristen Wiig- Kate Mara
Contratiempo,Mario Casas- Ana Wagener- José Coronado- Bárbara Lennie
The Man from U.N.C.L.E.,Henry Cavill- Armie Hammer- Alicia Vikander- Elizabeth Debicki
Hell or High Water,Chris Pine- Ben Foster- Jeff Bridges- Gil Birmingham
The Comedian,Robert De Niro- Leslie Mann- Danny DeVito- Edie Falco
The Legend of Tarzan,Alexander Skarsgård- Rory J. Saper- Christian Stevens- Christoph Waltz
All We Had,Eve Lindley- Richard Kind- Mark Consuelos- Katherine Reis
Ex Machina,Alicia Vikander- Domhnall Gleeson- Oscar Isaac-Sonoya Mizuno
The Belko Experiment,John Gallagher Jr.- Tony Goldwyn- Adria Arjona- John C. McGinley
12 Years a Slave,Chiwetel Ejiofor- Michael Kenneth Williams- Michael Fassbender- Brad Pitt
The Bad Batch,Keanu Reeves- Jason Momoa- Jim Carrey- Diego Luna
300,Gerard Butler- Lena Headey- David Wenham- Dominic West
Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe- Emma Watson- Rupert Grint- Michael Gambon
Office Christmas Party,Jason Bateman- Olivia Munn- T.J. Miller-Jennifer Aniston
The Neon Demon,Elle Fanning- Christina Hendricks- Keanu Reeves- Karl Glusman
Dangal,Aamir Khan- Sakshi Tanwar- Fatima Sana Shaikh-Sanya Malhotra
10 Cloverfield Lane,John Goodman- Mary Elizabeth Winstead- John Gallagher Jr.- Douglas M. Griffin
Finding Dory,Ellen DeGeneres- Albert Brooks-Ed O'Neill- Kaitlin Olson
Miss Peregrine's Home for Peculiar Children,Eva Green- Asa Butterfield- Samuel L. Jackson- Judi Dench
Divergent,Shailene Woodley- Theo James- Kate Winslet- Jai Courtney
Mike and Dave Need Wedding Dates,Zac Efron- Adam Devine- Anna Kendrick- Aubrey Plaza
Boyka: Undisputed IV,Scott Adkins- Teodora Duhovnikova- Alon Aboutboul- Julian Vergov
The Dark Knight Rises,Christian Bale- Tom Hardy- Anne Hathaway-Gary Oldman
The Jungle Book,Neel Sethi- Bill Murray- Ben Kingsley- Idris Elba
Transformers: Age of Extinction,Mark Wahlberg- Nicola Peltz- Jack Reynor- Stanley Tucci
Nerve,Emma Roberts- Dave Franco- Emily Meade- Miles Heizer
Mamma Mia!,Meryl Streep- Pierce Brosnan- Amanda Seyfried-Stellan Skarsgård
The Revenant,Leonardo DiCaprio- Tom Hardy- Will Poulter- Domhnall Gleeson
Fences,Denzel Washington- Viola Davis- Stephen Henderson- Jovan Adepo
Into the Woods,Anna Kendrick- Meryl Streep- Chris Pine- Emily Blunt
The Shallows,Blake Lively- Óscar Jaenada- Angelo Josue Lozano Corzo- Brett Cullen
Whiplash,Miles Teller- J.K. Simmons- Melissa Benoist- Paul Reiser
Furious 6,Vin Diesel- Paul Walker- Dwayne Johnson- Michelle Rodriguez
The Place Beyond the Pines,Ryan Gosling- Bradley Cooper- Eva Mendes-Craig Van Hook
No Country for Old Men,Tommy Lee Jones- Javier Bardem- Josh Brolin- Woody Harrelson
The Great Gatsby,Leonardo DiCaprio- Carey Mulligan- Joel Edgerton-Tobey Maguire
Shutter Island,Leonardo DiCaprio- Emily Mortimer- Mark Ruffalo-Ben Kingsley
Brimstone,Dakota Fanning- Guy Pearce- Kit Harington-Carice van Houten
Star Trek,Chris Pine- Zachary Quinto- Simon Pegg- Leonard Nimoy
Diary of a Wimpy Kid,Zachary Gordon- Robert Capron- Rachael Harris-Steve Zahn
The Big Short,Christian Bale- Steve Carell- Ryan Gosling- Brad Pitt
Room,Brie Larson- Jacob Tremblay- Sean Bridgers-Wendy Crewson
Django Unchained,Jamie Foxx- Christoph Waltz- Leonardo DiCaprio-Kerry Washington
Ah-ga-ssi,Min-hee Kim- Jung-woo Ha- Jin-woong Jo- So-ri Moon
The Edge of Seventeen,Hailee Steinfeld- Haley Lu Richardson- Blake Jenner- Kyra Sedgwick
Watchmen,Jackie Earle Haley- Patrick Wilson- Carla Gugino-Malin Akerman
Superbad,Michael Cera- Jonah Hill- Christopher Mintz-Plasse- Bill Hader
Inferno,Tom Hanks- Felicity Jones- Irrfan Khan- Ben Foster
The BFG,Mark Rylance- Ruby Barnhill- Penelope Wilton-Jemaine Clement
The Hunger Games,Jennifer Lawrence- Josh Hutcherson- Liam Hemsworth-Stanley Tucci
White Girl,Morgan Saylor- Brian Marc- Justin Bartha- Adrian Martinez
Sicario,Emily Blunt- Josh Brolin- Benicio Del Toro- Jon Bernthal
Twin Peaks: The Missing Pieces,Chris Isaak- Kiefer Sutherland- C.H. Evans- Sandra Kinder
Aliens vs Predator - Requiem,Reiko Aylesworth- Steven Pasquale-Shareeka Epps- John Ortiz
Pacific Rim,Idris Elba- Charlie Hunnam- Rinko Kikuchi-Charlie Day
Crazy- Stupid- Love.,Steve Carell- Ryan Gosling- Julianne Moore- Emma Stone
Scott Pilgrim vs. the World,Michael Cera- Mary Elizabeth Winstead- Kieran Culkin- Alison Pill
Hot Fuzz,Simon Pegg- Nick Frost- Martin Freeman- Bill Nighy
Mine,Armie Hammer- Annabelle Wallis-Tom Cullen- Clint Dyer
Free Fire,Sharlto Copley- Brie Larson- Armie Hammer- Cillian Murphy
X-Men: Days of Future Past,Patrick Stewart- Ian McKellen- Hugh Jackman- James McAvoy
Jack Reacher: Never Go Back,Tom Cruise- Cobie Smulders- Aldis Hodge- Robert Knepper
Casino Royale,Daniel Craig- Eva Green- Judi Dench- Jeffrey Wright
Twilight,Kristen Stewart- Robert Pattinson- Billy Burke-Sarah Clarke
Now You See Me 2,Jesse Eisenberg- Mark Ruffalo- Woody Harrelson- Dave Franco
Woman in Gold,Helen Mirren- Ryan Reynolds- Daniel Brühl- Katie Holmes
13 Hours,John Krasinski- Pablo Schreiber- James Badge Dale-David Denman
Spectre,Daniel Craig- Christoph Waltz- Léa Seydoux- Ralph Fiennes
Nightcrawler,Jake Gyllenhaal- Rene Russo- Bill Paxton- Riz Ahmed
Kubo and the Two Strings,Charlize Theron- Art Parkinson- Matthew McConaughey- Ralph Fiennes
Beyond the Gates,Graham Skipper- Chase Williamson- Brea Grant-Barbara Crampton
Her,Joaquin Phoenix- Amy Adams- Scarlett Johansson-Rooney Mara
Frozen,Kristen Bell- Idina Menzel- Jonathan Groff- Josh Gad
Tomorrowland,George Clooney- Britt Robertson- Hugh Laurie- Raffey Cassidy
Dawn of the Planet of the Apes,Gary Oldman- Keri Russell- Andy Serkis- Kodi Smit-McPhee
Tropic Thunder,Ben Stiller- Jack Black- Robert Downey Jr.- Jeff Kahn
